date,acquisition_key,burst_count,platforms,absolute_orbit,missing_bursts,burst_scene_names_json
2024-01-12,27|SENTINEL-1A|2024-01-12,4,SENTINEL-1A,52074,,"{""027_056011_IW2"": ""S1_056011_IW2_20240112T125544_VV_7379-BURST"", ""027_056012_IW2"": ""S1_056012_IW2_20240112T125546_VV_7379-BURST"", ""027_056013_IW2"": ""S1_056013_IW2_20240112T125549_VV_5A0B-BURST"", ""027_056014_IW2"": ""S1_056014_IW2_20240112T125552_VV_5A0B-BURST""}"
2024-01-24,27|SENTINEL-1A|2024-01-24,4,SENTINEL-1A,52249,,"{""027_056011_IW2"": ""S1_056011_IW2_20240124T125543_VV_021D-BURST"", ""027_056012_IW2"": ""S1_056012_IW2_20240124T125546_VV_021D-BURST"", ""027_056013_IW2"": ""S1_056013_IW2_20240124T125549_VV_311F-BURST"", ""027_056014_IW2"": ""S1_056014_IW2_20240124T125552_VV_311F-BURST""}"
2024-02-05,27|SENTINEL-1A|2024-02-05,4,SENTINEL-1A,52424,,"{""027_056011_IW2"": ""S1_056011_IW2_20240205T125543_VV_8D90-BURST"", ""027_056012_IW2"": ""S1_056012_IW2_20240205T125546_VV_8D90-BURST"", ""027_056013_IW2"": ""S1_056013_IW2_20240205T125549_VV_645C-BURST"", ""027_056014_IW2"": ""S1_056014_IW2_20240205T125551_VV_645C-BURST""}"
2024-02-17,27|SENTINEL-1A|2024-02-17,4,SENTINEL-1A,52599,,"{""027_056011_IW2"": ""S1_056011_IW2_20240217T125543_VV_64BC-BURST"", ""027_056012_IW2"": ""S1_056012_IW2_20240217T125546_VV_64BC-BURST"", ""027_056013_IW2"": ""S1_056013_IW2_20240217T125548_VV_1DF9-BURST"", ""027_056014_IW2"": ""S1_056014_IW2_20240217T125551_VV_1DF9-BURST""}"
2024-02-29,27|SENTINEL-1A|2024-02-29,4,SENTINEL-1A,52774,,"{""027_056011_IW2"": ""S1_056011_IW2_20240229T125543_VV_61AC-BURST"", ""027_056012_IW2"": ""S1_056012_IW2_20240229T125546_VV_61AC-BURST"", ""027_056013_IW2"": ""S1_056013_IW2_20240229T125548_VV_30A1-BURST"", ""027_056014_IW2"": ""S1_056014_IW2_20240229T125551_VV_30A1-BURST""}"
2024-03-12,27|SENTINEL-1A|2024-03-12,4,SENTINEL-1A,52949,,"{""027_056011_IW2"": ""S1_056011_IW2_20240312T125543_VV_3C20-BURST"", ""027_056012_IW2"": ""S1_056012_IW2_20240312T125546_VV_3C20-BURST"", ""027_056013_IW2"": ""S1_056013_IW2_20240312T125548_VV_E305-BURST"", ""027_056014_IW2"": ""S1_056014_IW2_20240312T125551_VV_E305-BURST""}"
2024-03-24,27|SENTINEL-1A|2024-03-24,4,SENTINEL-1A,53124,,"{""027_056011_IW2"": ""S1_056011_IW2_20240324T125543_VV_5AC4-BURST"", ""027_056012_IW2"": ""S1_056012_IW2_20240324T125546_VV_5AC4-BURST"", ""027_056013_IW2"": ""S1_056013_IW2_20240324T125549_VV_4D5B-BURST"", ""027_056014_IW2"": ""S1_056014_IW2_20240324T125551_VV_4D5B-BURST""}"
2024-04-05,27|SENTINEL-1A|2024-04-05,4,SENTINEL-1A,53299,,"{""027_056011_IW2"": ""S1_056011_IW2_20240405T125544_VV_2A79-BURST"", ""027_056012_IW2"": ""S1_056012_IW2_20240405T125546_VV_2A79-BURST"", ""027_056013_IW2"": ""S1_056013_IW2_20240405T125549_VV_B8E9-BURST"", ""027_056014_IW2"": ""S1_056014_IW2_20240405T125552_VV_B8E9-BURST""}"
2024-04-17,27|SENTINEL-1A|2024-04-17,4,SENTINEL-1A,53474,,"{""027_056011_IW2"": ""S1_056011_IW2_20240417T125544_VV_A892-BURST"", ""027_056012_IW2"": ""S1_056012_IW2_20240417T125547_VV_A892-BURST"", ""027_056013_IW2"": ""S1_056013_IW2_20240417T125549_VV_A1E9-BURST"", ""027_056014_IW2"": ""S1_056014_IW2_20240417T125552_VV_A1E9-BURST""}"
2024-04-29,27|SENTINEL-1A|2024-04-29,4,SENTINEL-1A,53649,,"{""027_056011_IW2"": ""S1_056011_IW2_20240429T125544_VV_E520-BURST"", ""027_056012_IW2"": ""S1_056012_IW2_20240429T125547_VV_E520-BURST"", ""027_056013_IW2"": ""S1_056013_IW2_20240429T125550_VV_BE6B-BURST"", ""027_056014_IW2"": ""S1_056014_IW2_20240429T125553_VV_BE6B-BURST""}"
2024-05-11,27|SENTINEL-1A|2024-05-11,4,SENTINEL-1A,53824,,"{""027_056011_IW2"": ""S1_056011_IW2_20240511T125544_VV_4321-BURST"", ""027_056012_IW2"": ""S1_056012_IW2_20240511T125547_VV_4321-BURST"", ""027_056013_IW2"": ""S1_056013_IW2_20240511T125550_VV_1AC0-BURST"", ""027_056014_IW2"": ""S1_056014_IW2_20240511T125553_VV_1AC0-BURST""}"
2024-05-23,27|SENTINEL-1A|2024-05-23,4,SENTINEL-1A,53999,,"{""027_056011_IW2"": ""S1_056011_IW2_20240523T125544_VV_39C1-BURST"", ""027_056012_IW2"": ""S1_056012_IW2_20240523T125547_VV_39C1-BURST"", ""027_056013_IW2"": ""S1_056013_IW2_20240523T125550_VV_CF19-BURST"", ""027_056014_IW2"": ""S1_056014_IW2_20240523T125552_VV_CF19-BURST""}"
2024-06-04,27|SENTINEL-1A|2024-06-04,4,SENTINEL-1A,54174,,"{""027_056011_IW2"": ""S1_056011_IW2_20240604T125544_VV_14FF-BURST"", ""027_056012_IW2"": ""S1_056012_IW2_20240604T125546_VV_14FF-BURST"", ""027_056013_IW2"": ""S1_056013_IW2_20240604T125549_VV_7620-BURST"", ""027_056014_IW2"": ""S1_056014_IW2_20240604T125552_VV_7620-BURST""}"
