index,date12,reference_date,secondary_date,temporal_baseline_days,perpendicular_baseline_m,aoi_px,unwrap_valid_px,unwrap_valid_frac_aoi,coherence_valid_px,coherence_valid_frac_aoi,coherence_median,coherence_p25,coherence_mean,components_in_aoi,largest_component_frac_aoi,coherence_frac_gt_0.2,coherence_frac_gt_0.3,coherence_frac_gt_0.5
131,20230318_20230411,20230318,20230411,24,154.9,1226497,1203915,0.981588,1226497,1.0,0.3872,0.2937,0.4747,5,0.615207,0.994208,0.725764,0.370336
132,20230318_20230423,20230318,20230423,36,73.9,1226497,1203926,0.981597,1226497,1.0,0.391,0.2937,0.4871,7,0.607429,0.994443,0.726266,0.386062
133,20230330_20230411,20230330,20230411,12,118.5,1226497,1203697,0.98141,1226497,1.0,0.421,0.3044,0.4801,3,0.723959,0.994853,0.764427,0.400113
134,20230330_20230423,20230330,20230423,24,37.5,1226497,1203719,0.981428,1226497,1.0,0.3993,0.2978,0.472,6,0.677298,0.994661,0.742416,0.376992
135,20230330_20230505,20230330,20230505,36,85.9,1226497,1203698,0.981411,1226497,1.0,0.363,0.2883,0.4439,7,0.542906,0.993825,0.700631,0.316395
136,20230411_20230423,20230411,20230423,12,-81.0,1226497,1203769,0.981469,1226497,1.0,0.8248,0.6541,0.7617,9,0.988264,0.998862,0.964658,0.871287
137,20230411_20230505,20230411,20230505,24,-32.6,1226497,1203915,0.981588,1226497,1.0,0.6363,0.4056,0.6208,1,0.937935,0.997324,0.887179,0.647465
138,20230411_20230517,20230411,20230517,36,-8.3,1226497,1203855,0.981539,1226497,1.0,0.4737,0.3123,0.5355,6,0.719669,0.995955,0.785836,0.475888
139,20230423_20230505,20230423,20230505,12,48.4,1226497,1203743,0.981448,1226497,1.0,0.7812,0.5776,0.7204,12,0.979589,0.998409,0.946596,0.814711
140,20230423_20230517,20230423,20230517,24,72.8,1226497,1203769,0.981469,1226497,1.0,0.5632,0.3428,0.5781,3,0.848881,0.996629,0.837421,0.560176
141,20230423_20230529,20230423,20230529,36,87.7,1226497,1203699,0.981412,1226497,1.0,0.4278,0.3007,0.5135,7,0.635147,0.995208,0.752501,0.433867
142,20230505_20230517,20230505,20230517,12,24.3,1226497,1203893,0.98157,1226497,1.0,0.6642,0.4355,0.6363,2,0.950022,0.997696,0.904748,0.683189
143,20230505_20230529,20230505,20230529,24,39.3,1226497,1203651,0.981373,1226497,1.0,0.52,0.3227,0.5585,4,0.77709,0.996346,0.807625,0.517569
144,20230505_20230610,20230505,20230610,36,-69.9,1226497,1203801,0.981495,1226497,1.0,0.4024,0.2958,0.4993,8,0.614594,0.994985,0.734171,0.406674
145,20230517_20230529,20230517,20230529,12,14.9,1226497,1203739,0.981445,1226497,1.0,0.5115,0.3252,0.5458,8,0.755225,0.996329,0.812916,0.511332
146,20230517_20230610,20230517,20230610,24,-94.2,1226497,1203793,0.981489,1226497,1.0,0.4367,0.3041,0.5158,7,0.662466,0.995377,0.763472,0.440558
147,20230517_20230622,20230517,20230622,36,-172.3,1226497,1203676,0.981393,1226497,1.0,0.3587,0.2867,0.4469,8,0.541986,0.993989,0.691888,0.318358
148,20230529_20230610,20230529,20230610,12,-109.1,1226497,1203675,0.981393,1226497,1.0,0.5912,0.3796,0.5921,2,0.922852,0.997093,0.873028,0.603331
149,20230529_20230622,20230529,20230622,24,-187.3,1226497,1203679,0.981396,1226497,1.0,0.4404,0.3062,0.5083,5,0.718609,0.995247,0.769369,0.438146
150,20230529_20230704,20230529,20230704,36,-101.4,1226497,1203693,0.981407,1226497,1.0,0.3771,0.2896,0.4866,7,0.560232,0.994272,0.70788,0.379518
151,20230610_20230622,20230610,20230622,12,-78.1,1226497,1203656,0.981377,1226497,1.0,0.6438,0.3861,0.6196,4,0.887991,0.997205,0.871632,0.638708
152,20230610_20230704,20230610,20230704,24,7.7,1226497,1203838,0.981525,1226497,1.0,0.3902,0.2925,0.5007,8,0.580846,0.994687,0.720662,0.401632
153,20230610_20230716,20230610,20230716,36,102.3,1226497,1203830,0.981519,1226497,1.0,0.3428,0.2813,0.4392,9,0.488566,0.993417,0.660479,0.295118
154,20230622_20230704,20230622,20230704,12,85.8,1226497,1203813,0.981505,1226497,1.0,0.4344,0.3019,0.5229,8,0.651666,0.995141,0.756383,0.442498
